1/2, 3 9 7
1, 3 0 11
1/2, 3 0 11
1/2, 0 1 10
1/2, 1 4 10
1/2, 3 9 7
1, 3 0 11
1/2, 3 0 11
3/4, 7 3 4
1/4, 3 4 5
1/4, 9 3 4
1/2, 8 5 11
1, 9 0 3
1/4, 9 0 3
3/4, 5 10 3
1/4, 10 0 8
3/4, 5 10 3
1/4, 10 0 8
1/2, 6 1 0
1/4, 2 10 7
1/2, 7 2 0
1/4, 7 2 0
1/4, 9 0 10
1/2, 1 8 10
1, 7 0 3
1/4, 7 0 3
3/4, 5 10 7
3/4, 2 7 8
1/4, 2 7 8
1/4, 9 0 10
1/2, 1 8 10
1, 7 0 3
1/4, 7 0 3
1/4, 10 1 8
1, 7 5 6
3/4, 7 5 6
1/2, 3 9 7
1, 3 0 11
1/2, 3 0 11
1/2, 0 1 10
1/2, 1 4 10
1/2, 3 9 7
1, 3 0 11
1/2, 3 0 11
3/4, 7 3 4
1/4, 3 4 5
