29/32, note
1/4, note
3/32, note
5/6, note
19/32, note
1/6, note
5/6, note
19/32, note
1/6, note
5/6, note
19/32, note
1/6, note
5/6, note
19/32, note
1/6, note
5/6, note
19/32, note
1/6, note
5/6, note
19/32, note
1/6, note
5/6, note
19/32, note
1/6, note
17/24, rest
91/96, note
7/24, note
5/6, note
19/32, note
1/6, note
9/16, note
1, rest
7/16, rest
5/6, note
19/32, note
1/6, note
1/16, note
1, note
15/16, note
49/96, note
5/12, note
5/96, note
41/48, note
1/48, note
17/24, note
13/32, note
7/24, note
11/32, note
19/48, note
13/16, note
25/96, note
49/96, note
27/32, note
47/96, note
61/96, note
7/96, note
23/96, note
11/16, note
5/96, note
77/96, rest
23/32, note
19/96, note
15/32, note
7/8, note
17/32, note
53/96, note
65/96, note
43/96, note
15/32, note
7/8, note
17/32, note
15/32, note
7/8, note
17/32, note
15/32, note
7/8, note
17/32, note
15/32, note
7/8, note
17/32, note
67/96, note
13/96, note
1/8, note
11/96, note
1/24, note
53/96, note
65/96, note
43/96, note
77/96, rest
23/32, note
19/96, note
11/96, note
7/16, rest
17/48, note
43/96, rest
3/32, rest
9/16, note
27/32, note
7/16, note
15/32, note
7/8, note
17/32, note
77/96, rest
23/32, note
19/96, note
53/96, note
77/96, note
43/96, note
11/48, note
85/96, note
37/48, note
11/48, note
91/96, note
37/48, note
67/96, note
19/24, note
29/96, note
2/3, note
11/48, note
13/32, note
5/48, note
53/96, note
77/96, note
43/96, note
11/48, note
85/96, note
37/48, note
5/6, note
15/32, note
1/6, note
11/48, note
91/96, note
37/48, note
11/48, note
91/96, note
37/48, note
53/96, note
77/96, note
43/96, note
11/48, note
91/96, note
37/48, note
67/96, note
19/24, note
29/96, note
79/96, note
65/96, note
17/96, note
11/48, note
91/96, note
37/48, note
23/24, note
17/32, note
1/24, note
91/96, note
1/96, note
47/48, note
1/24, note
23/24, note
13/96, note
1/24, note
5/6, note
1/12, note
23/96, rest
1/12, rest
1/32, note
23/96, note
47/48, rest
35/48, rest
7/48, note
49/96, rest
25/32, rest
11/32, rest
91/96, note
1/96, note
47/48, note
1/24, note
91/96, note
1/96, note
47/48, note
1/24, note
7/48, note
49/96, rest
25/32, rest
11/32, rest
1/3, note
1/12, note
7/48, note
1, note
7/16, note
91/96, note
1/96, note
47/48, note
1/24, note
5/32, note
7/48, note
7/96, note
13/96, note
1, note
47/96, note
29/96, note
27/32, note
67/96, note
91/96, note
1/96, note
47/48, note
1/24, note
7/48, note
49/96, rest
25/32, rest
11/32, rest
91/96, note
1/96, note
47/48, note
1/24, note
91/96, note
1/96, note
47/48, note
1/24, note
11/48, note
23/48, note
17/24, note
7/24, note
31/96, note
17/24, note
65/96, note
21/32, note
25/32, note
11/32, note
11/48, note
23/48, note
17/24, note
7/24, note
11/48, note
23/48, note
17/24, note
7/24, note
43/48, note
13/48, note
5/48, note
43/48, note
13/48, note
5/48, note
21/32, note
25/32, note
11/32, note
7/16, note
73/96, note
9/16, note
89/96, note
1/96, note
13/16, note
1/16, note
43/48, note
13/48, note
5/48, note
11/48, note
23/48, note
17/24, note
7/24, note
1/12, rest
61/96, note
9/32, note
7/16, note
73/96, note
9/16, note
31/96, note
17/24, note
65/96, note
67/96, note
15/16, note
29/96, note
11/48, note
23/48, note
17/24, note
7/24, note
31/96, note
17/24, note
65/96, note
21/32, note
25/32, note
11/32, note
11/48, note
23/48, note
17/24, note
7/24, note
11/48, note
23/48, note
17/24, note
7/24, note
43/48, note
13/48, note
5/48, note
43/48, note
13/48, note
5/48, note
21/32, note
25/32, note
11/32, note
7/16, note
73/96, note
9/16, note
89/96, note
1/96, note
13/16, note
1/16, note
43/48, note
13/48, note
5/48, note
11/48, note
23/48, note
17/24, note
7/24, note
1/12, rest
61/96, note
9/32, note
7/16, note
73/96, note
9/16, note
31/96, note
17/24, note
65/96, note
67/96, note
15/16, note
29/96, note
11/48, note
23/48, note
17/24, note
7/24, note
31/96, note
17/24, note
65/96, note
21/32, note
25/32, note
11/32, note
11/48, note
23/48, note
17/24, note
7/24, note
11/48, note
23/48, note
17/24, note
7/24, note
43/48, note
13/48, note
5/48, note
43/48, note
13/48, note
5/48, note
21/32, note
25/32, note
11/32, note
7/16, note
73/96, note
9/16, note
89/96, note
1/96, note
13/16, note
1/16, note
43/48, note
13/48, note
5/48, note
11/48, note
23/48, note
17/24, note
7/24, note
1/12, rest
61/96, note
9/32, note
7/16, note
73/96, note
9/16, note
31/96, note
17/24, note
65/96, note
67/96, note
15/16, note
29/96, note
91/96, note
1/96, note
47/48, note
1/24, note
23/24, note
13/96, note
1/24, note
5/6, note
1/12, note
23/96, rest
1/12, rest
1/32, note
23/96, note
47/48, rest
35/48, rest
7/48, note
49/96, rest
25/32, rest
11/32, rest
91/96, note
1/96, note
47/48, note
1/24, note
91/96, note
1/96, note
47/48, note
1/24, note
7/48, note
49/96, rest
25/32, rest
11/32, rest
1/3, note
1/12, note
7/48, note
1, note
7/16, note
91/96, note
1/96, note
47/48, note
1/24, note
5/32, note
7/48, note
7/96, note
13/96, note
1, note
47/96, note
29/96, note
27/32, note
67/96, note
91/96, note
1/96, note
47/48, note
1/24, note
7/48, note
49/96, rest
25/32, rest
11/32, rest
91/96, note
1/96, note
47/48, note
1/24, note
91/96, note
1/96, note
47/48, note
1/24, note
53/96, note
77/96, note
43/96, note
11/48, note
85/96, note
37/48, note
11/48, note
91/96, note
37/48, note
67/96, note
19/24, note
29/96, note
2/3, note
11/48, note
13/32, note
5/48, note
53/96, note
77/96, note
43/96, note
11/48, note
85/96, note
37/48, note
5/6, note
15/32, note
1/6, note
11/48, note
91/96, note
37/48, note
11/48, note
91/96, note
37/48, note
53/96, note
77/96, note
43/96, note
11/48, note
91/96, note
37/48, note
67/96, note
19/24, note
29/96, note
79/96, note
65/96, note
17/96, note
11/48, note
91/96, note
37/48, note
23/24, note
17/32, note
1/24, note
11/48, note
23/48, note
17/24, note
7/24, note
31/96, note
17/24, note
65/96, note
21/32, note
25/32, note
11/32, note
11/48, note
23/48, note
17/24, note
7/24, note
11/48, note
23/48, note
17/24, note
7/24, note
43/48, note
13/48, note
5/48, note
43/48, note
13/48, note
5/48, note
21/32, note
25/32, note
11/32, note
7/16, note
73/96, note
9/16, note
89/96, note
1/96, note
13/16, note
1/16, note
43/48, note
13/48, note
5/48, note
11/48, note
23/48, note
17/24, note
7/24, note
1/12, rest
61/96, note
9/32, note
7/16, note
73/96, note
9/16, note
31/96, note
17/24, note
65/96, note
67/96, note
15/16, note
29/96, note
5/96, note
25/96, note
1/16, rest
19/24, note
5/8, note
1/96, note
89/96, note
17/24, note
1/16, note
5/96, note
25/96, note
1/16, rest
19/24, note
5/8, note
1/4, note
1/4, note
7/24, note
23/96, note
5/24, note
67/96, note
5/48, note
11/48, note
19/96, note
67/96, note
5/48, note
11/48, note
19/96, note
1/96, note
89/96, note
17/24, note
1/16, note
1/96, note
89/96, note
17/24, note
1/16, note
2/3, note
13/96, note
19/96, note
67/96, note
5/48, note
11/48, note
19/96, note
1/96, note
89/96, note
17/24, note
1/16, note
1/3, note
43/96, note
13/48, note
7/32, note
1/96, note
89/96, note
17/24, note
1/16, note
5/96, note
31/48, note
41/48, note
29/96, note
1/96, note
89/96, note
17/24, note
1/16, note
31/48, note
27/32, note
17/48, note
13/48, note
55/96, note
13/24, note
5/32, note
55/96, note
49/96, note
41/96, note
7/96, note
7/8, note
27/32, note
5/96, note
7/24, note
3/8, note
73/96, note
1/3, note
11/12, note
13/32, note
1/12, note
13/48, note
55/96, note
13/24, note
5/32, note
11/12, note
13/32, note
1/12, note
13/48, note
55/96, note
13/24, note
5/32, note
13/48, note
55/96, note
13/24, note
5/32, note
7/48, note
3/16, note
31/96, note
5/6, note
11/32, note
11/12, note
13/32, note
1/12, note
11/12, note
13/32, note
1/12, note
11/12, note
13/32, note
1/12, note
3/16, note
13/16, note
13/48, note
55/96, note
13/24, note
5/32, note
5/24, note
1/6, note
37/96, note
71/96, note
23/96, note
29/32, note
1/4, note
3/32, note
5/6, note
19/32, note
1/6, note
5/6, note
19/32, note
1/6, note
5/6, note
19/32, note
1/6, note
5/6, note
19/32, note
1/6, note
5/6, note
19/32, note
1/6, note
5/6, note
19/32, note
1/6, note
5/6, note
19/32, note
1/6, note
17/24, rest
91/96, note
7/24, note
5/6, note
19/32, note
1/6, note
9/16, note
1, rest
7/16, rest
5/6, note
19/32, note
1/6, note
1/16, note
1, note
15/16, note
49/96, note
5/12, note
5/96, note
41/48, note
1/48, note
17/24, note
13/32, note
7/24, note
11/32, note
19/48, note
13/16, note
25/96, note
53/96, note
77/96, note
43/96, note
11/48, note
85/96, note
37/48, note
11/48, note
91/96, note
37/48, note
67/96, note
19/24, note
29/96, note
2/3, note
11/48, note
13/32, note
5/48, note
53/96, note
77/96, note
43/96, note
11/48, note
85/96, note
37/48, note
5/6, note
15/32, note
1/6, note
11/48, note
91/96, note
37/48, note
11/48, note
91/96, note
37/48, note
53/96, note
77/96, note
43/96, note
11/48, note
91/96, note
37/48, note
67/96, note
19/24, note
29/96, note
79/96, note
65/96, note
17/96, note
11/48, note
91/96, note
37/48, note
23/24, note
17/32, note
1/24, note
11/48, note
23/48, note
17/24, note
7/24, note
31/96, note
17/24, note
65/96, note
21/32, note
25/32, note
11/32, note
11/48, note
23/48, note
17/24, note
7/24, note
11/48, note
23/48, note
17/24, note
7/24, note
43/48, note
13/48, note
5/48, note
43/48, note
13/48, note
5/48, note
21/32, note
25/32, note
11/32, note
7/16, note
73/96, note
9/16, note
89/96, note
1/96, note
13/16, note
1/16, note
43/48, note
13/48, note
5/48, note
11/48, note
23/48, note
17/24, note
7/24, note
1/12, rest
61/96, note
9/32, note
7/16, note
73/96, note
9/16, note
31/96, note
17/24, note
65/96, note
67/96, note
15/16, note
29/96, note
79/96, note
95/96, note
17/96, note
73/96, rest
11/16, note
23/96, note
17/32, rest
1/32, note
5/8, note
7/16, note
47/48, note
1/12, rest
1/48, rest
73/96, rest
11/16, note
23/96, note
11/32, note
11/96, note
1/96, note
15/16, note
17/32, note
47/48, note
1/12, rest
1/48, rest
47/48, note
1/12, rest
1/48, rest
2/3, note
1/3, note
47/48, note
1/12, rest
1/48, rest
2/3, note
1/3, note
13/96, note
1/4, note
91/96, note
59/96, note
83/96, note
17/48, note
13/96, note
47/48, note
1/12, rest
1/48, rest
47/48, note
1/12, rest
1/48, rest
2/3, note
1/3, note
