3/8, 5 2 9
7/8, 4 5 11
5/8, 4 5 11
1/4, 10 6 8
5/8, 3 10 2
7/8, 4 3 0
1/8, 4 3 0
1/4, 10 6 8
5/8, 3 10 2
7/8, 4 3 0
1/8, 4 3 0
1/4, 10 6 8
5/8, 3 10 2
7/8, 4 3 0
1/8, 4 3 0
3/8, 5 2 9
7/8, 4 5 11
5/8, 4 5 11
3/4, 3 11 5
1, 11 3 2
1/4, 11 3 2
3/8, 5 2 9
7/8, 4 5 11
5/8, 4 5 11
3/8, 5 2 9
7/8, 4 5 11
5/8, 4 5 11
3/8, 5 2 9
7/8, 4 5 11
5/8, 4 5 11
1/4, 10 6 8
5/8, 3 10 2
7/8, 4 3 0
1/8, 4 3 0
1/4, 10 6 8
5/8, 3 10 2
7/8, 4 3 0
1/8, 4 3 0
1/4, 10 6 8
5/8, 3 10 2
7/8, 4 3 0
1/8, 4 3 0
3/8, 5 2 9
7/8, 4 5 11
5/8, 4 5 11
3/4, 3 11 5
1, 11 3 2
1/4, 11 3 2
3/8, 5 2 9
7/8, 4 5 11
5/8, 4 5 11
3/8, 5 2 9
7/8, 4 5 11
5/8, 4 5 11
3/8, 5 2 9
7/8, 4 5 11
5/8, 4 5 11
1/4, 10 6 8
5/8, 3 10 2
7/8, 4 3 0
1/8, 4 3 0
1/4, 10 6 8
5/8, 3 10 2
7/8, 4 3 0
1/8, 4 3 0
1/4, 10 6 8
5/8, 3 10 2
7/8, 4 3 0
1/8, 4 3 0
3/8, 5 2 9
7/8, 4 5 11
5/8, 4 5 11
3/4, 3 11 5
1, 11 3 2
1/4, 11 3 2
3/8, 5 2 9
7/8, 4 5 11
5/8, 4 5 11
3/8, 5 2 9
7/8, 4 5 11
5/8, 4 5 11
3/8, 5 2 9
7/8, 4 5 11
5/8, 4 5 11
1/4, 10 6 8
5/8, 3 10 2
7/8, 4 3 0
1/8, 4 3 0
1/4, 10 6 8
5/8, 3 10 2
7/8, 4 3 0
1/8, 4 3 0
1/4, 10 6 8
5/8, 3 10 2
7/8, 4 3 0
1/8, 4 3 0
3/8, 5 2 9
7/8, 4 5 11
5/8, 4 5 11
3/4, 3 11 5
1, 11 3 2
1/4, 11 3 2
3/8, 5 2 9
7/8, 4 5 11
5/8, 4 5 11
3/8, 5 2 9
7/8, 4 5 11
5/8, 4 5 11
1/4, 1 10 4
1/4, 6 2 3
1/8, 11 1 8
3/4, 11 8 7
3/8, 11 8 7
3/4, 5 11 10
5/8, 8 11 9
1/4, 8 11 9
3/4, 5 11 10
5/8, 8 11 9
1/4, 8 11 9
3/8, 3 1 5
3/8, 2 3 6
1, 4 1 0
1/4, 4 1 0
3/8, 3 1 5
3/8, 2 3 6
1, 4 1 0
1/4, 4 1 0
3/4, 5 11 10
5/8, 8 11 9
1/4, 8 11 9
3/4, 5 11 10
5/8, 8 11 9
1/4, 8 11 9
3/8, 3 1 5
3/8, 2 3 6
1, 4 1 0
1/4, 4 1 0
3/8, 6 8 4
1/8, 6 3 8
5/8, 8 11 2
1/2, 8 11 2
1/8, 8 9 2
1/8, 1 9 7
7/8, 6 10 0
3/4, 6 10 0
5/8, 10 3 8
1/2, 1 2 10
3/8, 1 2 10
5/8, 10 3 8
1/2, 1 2 10
3/8, 1 2 10
5/8, 10 3 8
1/2, 1 2 10
3/8, 1 2 10
5/8, 10 3 8
1/2, 1 2 10
3/8, 1 2 10
1/8, 8 9 2
1/8, 1 9 7
7/8, 6 10 0
3/4, 6 10 0
1/8, 8 9 2
1/8, 1 9 7
7/8, 6 10 0
3/4, 6 10 0
3/8, 5 2 9
7/8, 4 5 11
5/8, 4 5 11
1/4, 10 6 8
5/8, 3 10 2
7/8, 4 3 0
1/8, 4 3 0
1/4, 10 6 8
5/8, 3 10 2
7/8, 4 3 0
1/8, 4 3 0
1/4, 10 6 8
5/8, 3 10 2
7/8, 4 3 0
1/8, 4 3 0
3/8, 5 2 9
7/8, 4 5 11
5/8, 4 5 11
3/4, 3 11 5
1, 11 3 2
1/4, 11 3 2
3/8, 5 2 9
7/8, 4 5 11
5/8, 4 5 11
3/8, 5 2 9
7/8, 4 5 11
5/8, 4 5 11
1/4, 1 10 4
1/4, 6 2 3
1/8, 11 1 8
3/4, 11 8 7
3/8, 11 8 7
3/4, 5 11 10
5/8, 8 11 9
1/4, 8 11 9
3/4, 5 11 10
5/8, 8 11 9
1/4, 8 11 9
3/8, 3 1 5
3/8, 2 3 6
1, 4 1 0
1/4, 4 1 0
3/8, 3 1 5
3/8, 2 3 6
1, 4 1 0
1/4, 4 1 0
3/4, 5 11 10
5/8, 8 11 9
1/4, 8 11 9
3/4, 5 11 10
5/8, 8 11 9
1/4, 8 11 9
3/8, 3 1 5
3/8, 2 3 6
1, 4 1 0
1/4, 4 1 0
