[ 0.009434, [\pitch, 53.000000, \amp, -4.688532]]
[ 0.018868, [\pitch, 53.000000, \amp, -4.652158]]
[ 0.018868, [\pitch, 53.000000, \amp, -4.579408]]
[ 0.009434, [\pitch, 53.000000, \amp, -4.506659]]
[ 0.018868, [\pitch, 44.000000, \amp, -4.470284]]
[ 0.009434, [\pitch, 46.000000, \amp, -4.397534]]
[ 0.037736, [\pitch, 46.000000, \amp, -4.361160]]
[ 0.009434, [\pitch, 46.000000, \amp, -4.215661]]
[ 0.009434, [\pitch, 48.000000, \amp, -2.142339]]
[ 0.018868, [\pitch, 48.000000, \amp, -2.442570]]
[ 0.018868, [\pitch, 48.000000, \amp, -3.043031]]
[ 0.009434, [\pitch, 48.000000, \amp, -3.643491]]
[ 0.037736, [\pitch, 41.000000, \amp, -15.441218]]
[ 0.028302, [\pitch, 41.000000, \amp, -15.061542]]
[ 0.028302, [\pitch, 41.000000, \amp, -14.776785]]
[ 0.009434, [\pitch, 41.000000, \amp, -14.492028]]
[ 0.028302, [\pitch, 41.000000, \amp, -14.397109]]
[ 0.028302, [\pitch, 43.000000, \amp, -14.556710]]
[ 0.009434, [\pitch, 43.000000, \amp, -14.744084]]
[ 0.028302, [\pitch, 43.000000, \amp, -14.806542]]
[ 0.037736, [\pitch, 39.000000, \amp, -14.993915]]
[ 0.009434, [\pitch, 39.000000, \amp, -15.243746]]
[ 0.028302, [\pitch, 39.000000, \amp, -15.306204]]
[ 0.037736, [\pitch, 41.000000, \amp, -15.493578]]
[ 0.009434, [\pitch, 40.000000, \amp, -15.743409]]
[ 0.037736, [\pitch, 40.000000, \amp, -15.805867]]
[ 0.018868, [\pitch, 47.000000, \amp, -16.055698]]
[ 0.009434, [\pitch, 47.000000, \amp, -16.180614]]
[ 0.028302, [\pitch, 49.000000, \amp, -16.243071]]
[ 0.009434, [\pitch, 52.000000, \amp, -16.335790]]
[ 0.037736, [\pitch, 52.000000, \amp, -16.161610]]
[ 0.018868, [\pitch, 54.000000, \amp, -9.194006]]
[ 0.028302, [\pitch, 54.000000, \amp, -8.818513]]
[ 0.018868, [\pitch, 49.000000, \amp, -8.255275]]
[ 0.028302, [\pitch, 49.000000, \amp, -7.879782]]
[ 0.028302, [\pitch, 49.000000, \amp, -7.316544]]
[ 0.009434, [\pitch, 48.000000, \amp, -6.753305]]
[ 0.028302, [\pitch, 46.000000, \amp, -6.565559]]
[ 0.028302, [\pitch, 45.000000, \amp, -6.002321]]
[ 0.009434, [\pitch, 42.000000, \amp, -13.092598]]
[ 0.028302, [\pitch, 42.000000, \amp, -13.092598]]
[ 0.037736, [\pitch, 45.000000, \amp, -13.092598]]
[ 0.009434, [\pitch, 45.000000, \amp, -13.092598]]
[ 0.028302, [\pitch, 36.000000, \amp, -13.092598]]
[ 0.037736, [\pitch, 42.000000, \amp, -13.092598]]
[ 0.009434, [\pitch, 42.000000, \amp, -13.092598]]
