[ 0.021277, [\pitch, -1, \amp, -inf]]
[ 0.063830, [\pitch, 46.000000, \amp, -5.977424]]
[ 0.021277, [\pitch, 62.000000, \amp, -5.977424]]
[ 0.042553, [\pitch, 62.000000, \amp, -5.977424]]
[ 0.063830, [\pitch, 63.000000, \amp, -6.350110]]
[ 0.021277, [\pitch, 63.000000, \amp, -7.343942]]
[ 0.021277, [\pitch, 63.000000, \amp, -7.675219]]
[ 0.021277, [\pitch, 58.000000, \amp, -10.603932]]
[ 0.042553, [\pitch, 58.000000, \amp, -10.833603]]
[ 0.021277, [\pitch, 58.000000, \amp, -11.292944]]
[ 0.042553, [\pitch, 58.000000, \amp, -12.675712]]
[ 0.063830, [\pitch, 51.000000, \amp, -13.107651]]
[ 0.021277, [\pitch, 51.000000, \amp, -17.441548]]
[ 0.021277, [\pitch, 51.000000, \amp, -17.445045]]
[ 0.021277, [\pitch, 51.000000, \amp, -17.448543]]
[ 0.042553, [\pitch, 50.000000, \amp, -17.452040]]
[ 0.021277, [\pitch, 46.000000, \amp, -17.459035]]
[ 0.042553, [\pitch, 46.000000, \amp, -17.462533]]
[ 0.063830, [\pitch, 51.000000, \amp, -17.469528]]
[ 0.021277, [\pitch, 51.000000, \amp, -17.480020]]
[ 0.021277, [\pitch, 51.000000, \amp, -17.483518]]
[ 0.042553, [\pitch, 51.000000, \amp, -17.487015]]
[ 0.063830, [\pitch, 51.000000, \amp, -17.494010]]
[ 0.021277, [\pitch, 51.000000, \amp, -17.504502]]
[ 0.021277, [\pitch, 51.000000, \amp, -17.508000]]
[ 0.042553, [\pitch, 46.000000, \amp, -17.511497]]
[ 0.063830, [\pitch, 62.000000, \amp, -5.977424]]
[ 0.021277, [\pitch, 62.000000, \amp, -5.977424]]
